manager,manager_name,player_name,team,photo,player_id
SB,Sandipan,Szoboszlai,LIV,424876,1
SL,Sami,Arrizabalaga,CHE,109745,1
SL,Sami,B.Fernandes,MUN,141746,1
SL,Sami,Barnes,NEW,201666,1
SL,Sami,Brooks,BOU,111317,1
SL,Sami,Cash,AVL,199796,1
SL,Sami,Enciso,BHA,474120,1
SL,Sami,Isak,NEW,219168,1
SL,Sami,McBurnie,SHU,169432,1
SL,Sami,Pedro Porro,TOT,441164,1
SL,Sami,Pinnock,BRE,231065,1
SL,Sami,Shaw,MUN,106760,1
SL,Sami,Vicario,TOT,184254,1
SL,Sami,Wilson,FUL,153682,1
SB,Sandipan,Mudryk,CHE,465920,1
SB,Sandipan,Johnson,NFO,242898,1
SB,Sandipan,Højlund,MUN,497894,1
RK,Ruslan,Mount,MUN,184341,1
RK,Ruslan,Chilwell,CHE,172850,1
RK,Ruslan,Dunk,BHA,83299,1
RK,Ruslan,Fabianski,WHU,37096,1
RK,Ruslan,Haaland,MCI,223094,1
RK,Ruslan,Ings,WHU,84939,1
RK,Ruslan,J.Otto,WOL,114128,1
RK,Ruslan,José Sá,WOL,149065,1
RK,Ruslan,Mitoma,BHA,451340,1
RK,Ruslan,Trossard,ARS,116216,1
SB,Sandipan,Gabriel,ARS,226597,1
RK,Ruslan,Veltman,BHA,111478,1
RK,Ruslan,Virgil,LIV,97032,1
RK,Ruslan,Weghorst,BUR,120202,1
SB,Sandipan,Alexander-Arnold,LIV,169187,1
SB,Sandipan,Bowen,WHU,178186,1
SB,Sandipan,Colwill,CHE,460028,1
SB,Sandipan,Danjuma,EVE,220307,1
SB,Sandipan,Estupiñan,BHA,204214,1
YE,Youssef,White,ARS,198869,1
